========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 2 bound to :50002. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 5738 | NetHead: 5738 | Confirmed: 5736 | Missing: 2 | StateHash: 0x9B0FE6DC
[HEARTBEAT] SimTick: 5780 | NetHead: 5779 | Confirmed: 5778 | Missing: 2 | StateHash: 0x37FAD441
[HEARTBEAT] SimTick: 5822 | NetHead: 5821 | Confirmed: 5818 | Missing: 4 | StateHash: 0x612D2A8E
[HEARTBEAT] SimTick: 5864 | NetHead: 5863 | Confirmed: 5860 | Missing: 4 | StateHash: 0x02B113B4
[HEARTBEAT] SimTick: 5903 | NetHead: 5902 | Confirmed: 5901 | Missing: 2 | StateHash: 0x01F3B742
[HEARTBEAT] SimTick: 5944 | NetHead: 5943 | Confirmed: 5939 | Missing: 5 | StateHash: 0x75BCD81E
[HEARTBEAT] SimTick: 5982 | NetHead: 5981 | Confirmed: 5977 | Missing: 5 | StateHash: 0x4FDF9C1C
[HEARTBEAT] SimTick: 6016 | NetHead: 6015 | Confirmed: 6014 | Missing: 2 | StateHash: 0xAD492BE1
[HEARTBEAT] SimTick: 6056 | NetHead: 6055 | Confirmed: 6051 | Missing: 5 | StateHash: 0xFD86F459
[HEARTBEAT] SimTick: 6099 | NetHead: 6098 | Confirmed: 6095 | Missing: 4 | StateHash: 0x46C52614
[HEARTBEAT] SimTick: 6136 | NetHead: 6136 | Confirmed: 6131 | Missing: 5 | StateHash: 0x5DC51E91
[HEARTBEAT] SimTick: 6178 | NetHead: 6177 | Confirmed: 6175 | Missing: 3 | StateHash: 0x171CD7C9
[HEARTBEAT] SimTick: 6215 | NetHead: 6214 | Confirmed: 6212 | Missing: 3 | StateHash: 0xC0B79ACC
[HEARTBEAT] SimTick: 6252 | NetHead: 6252 | Confirmed: 6250 | Missing: 2 | StateHash: 0x6F136591
[HEARTBEAT] SimTick: 6300 | NetHead: 6299 | Confirmed: 6295 | Missing: 5 | StateHash: 0x5623C269
[HEARTBEAT] SimTick: 6336 | NetHead: 6335 | Confirmed: 6331 | Missing: 5 | StateHash: 0x9EAEB724
[HEARTBEAT] SimTick: 6370 | NetHead: 6369 | Confirmed: 6367 | Missing: 3 | StateHash: 0x51B5F3CD
[HEARTBEAT] SimTick: 6409 | NetHead: 6409 | Confirmed: 6404 | Missing: 5 | StateHash: 0x90384711
[HEARTBEAT] SimTick: 6449 | NetHead: 6448 | Confirmed: 6446 | Missing: 3 | StateHash: 0x042B9E14
[HEARTBEAT] SimTick: 6490 | NetHead: 6490 | Confirmed: 6485 | Missing: 5 | StateHash: 0x18F246CD
[HEARTBEAT] SimTick: 6529 | NetHead: 6528 | Confirmed: 6526 | Missing: 3 | StateHash: 0xE4F9AC29
[HEARTBEAT] SimTick: 6563 | NetHead: 6562 | Confirmed: 6561 | Missing: 2 | StateHash: 0x444C2214
[HEARTBEAT] SimTick: 6596 | NetHead: 6595 | Confirmed: 6593 | Missing: 3 | StateHash: 0x444C2214
[HEARTBEAT] SimTick: 6634 | NetHead: 6634 | Confirmed: 6630 | Missing: 4 | StateHash: 0x66C69ACC
[HEARTBEAT] SimTick: 6671 | NetHead: 6671 | Confirmed: 6670 | Missing: 1 | StateHash: 0xB3649BBC
[HEARTBEAT] SimTick: 6714 | NetHead: 6713 | Confirmed: 6709 | Missing: 5 | StateHash: 0xB3649BBC
[HEARTBEAT] SimTick: 6755 | NetHead: 6754 | Confirmed: 6750 | Missing: 5 | StateHash: 0xA0F5C0C4
[HEARTBEAT] SimTick: 6794 | NetHead: 6793 | Confirmed: 6790 | Missing: 4 | StateHash: 0xBF7E8E24
[HEARTBEAT] SimTick: 6832 | NetHead: 6832 | Confirmed: 6827 | Missing: 5 | StateHash: 0xBF7E8E24
[HEARTBEAT] SimTick: 6868 | NetHead: 6867 | Confirmed: 6865 | Missing: 3 | StateHash: 0xEFFA9C6A
[HEARTBEAT] SimTick: 6905 | NetHead: 6904 | Confirmed: 6900 | Missing: 5 | StateHash: 0xAFA9CB9E
[HEARTBEAT] SimTick: 6943 | NetHead: 6942 | Confirmed: 6940 | Missing: 3 | StateHash: 0x2FA1C334
[HEARTBEAT] SimTick: 6974 | NetHead: 6973 | Confirmed: 6969 | Missing: 5 | StateHash: 0x33BCDE41
[HEARTBEAT] SimTick: 7010 | NetHead: 7009 | Confirmed: 7006 | Missing: 4 | StateHash: 0x17FF2B71
[HEARTBEAT] SimTick: 7044 | NetHead: 7043 | Confirmed: 7042 | Missing: 2 | StateHash: 0x5A70EF84
[HEARTBEAT] SimTick: 7087 | NetHead: 7086 | Confirmed: 7083 | Missing: 4 | StateHash: 0x75EF5A9D
[HEARTBEAT] SimTick: 7125 | NetHead: 7124 | Confirmed: 7122 | Missing: 3 | StateHash: 0xFA2E01C1
[HEARTBEAT] SimTick: 7162 | NetHead: 7161 | Confirmed: 7157 | Missing: 5 | StateHash: 0xB1CA64D4
[HEARTBEAT] SimTick: 7199 | NetHead: 7199 | Confirmed: 7194 | Missing: 5 | StateHash: 0xB1CA64D4
[HEARTBEAT] SimTick: 7243 | NetHead: 7242 | Confirmed: 7238 | Missing: 5 | StateHash: 0xFA9A3B41
[HEARTBEAT] SimTick: 7279 | NetHead: 7279 | Confirmed: 7278 | Missing: 1 | StateHash: 0x38D794CC
[HEARTBEAT] SimTick: 7317 | NetHead: 7316 | Confirmed: 7314 | Missing: 3 | StateHash: 0x38D794CC
[HEARTBEAT] SimTick: 7356 | NetHead: 7356 | Confirmed: 7351 | Missing: 5 | StateHash: 0x641CFF54
[HEARTBEAT] SimTick: 7396 | NetHead: 7395 | Confirmed: 7392 | Missing: 4 | StateHash: 0x84FA8294
[HEARTBEAT] SimTick: 7436 | NetHead: 7436 | Confirmed: 7432 | Missing: 4 | StateHash: 0x84FA8294
[HEARTBEAT] SimTick: 7472 | NetHead: 7471 | Confirmed: 7470 | Missing: 2 | StateHash: 0xA0EEC8DC
[HEARTBEAT] SimTick: 7508 | NetHead: 7507 | Confirmed: 7506 | Missing: 2 | StateHash: 0x0B82235E
