========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 5 bound to :50005. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 4859 | NetHead: 4858 | Confirmed: 4857 | Missing: 2 | StateHash: 0xF54ECA31
[HEARTBEAT] SimTick: 4901 | NetHead: 4901 | Confirmed: 4897 | Missing: 4 | StateHash: 0x50AF2794
[HEARTBEAT] SimTick: 4941 | NetHead: 4940 | Confirmed: 4938 | Missing: 3 | StateHash: 0x58764C09
[HEARTBEAT] SimTick: 4983 | NetHead: 4982 | Confirmed: 4978 | Missing: 5 | StateHash: 0xF512DBF1
[HEARTBEAT] SimTick: 5007 | NetHead: 5007 | Confirmed: 5002 | Missing: 5 | StateHash: 0x96B7880C
[HEARTBEAT] SimTick: 5043 | NetHead: 5043 | Confirmed: 5038 | Missing: 5 | StateHash: 0xD5C88305
[HEARTBEAT] SimTick: 5082 | NetHead: 5081 | Confirmed: 5078 | Missing: 4 | StateHash: 0xADC22C99
[HEARTBEAT] SimTick: 5123 | NetHead: 5122 | Confirmed: 5118 | Missing: 5 | StateHash: 0x9D3FF1FC
[HEARTBEAT] SimTick: 5166 | NetHead: 5166 | Confirmed: 5161 | Missing: 5 | StateHash: 0x8EAF7435
[HEARTBEAT] SimTick: 5201 | NetHead: 5200 | Confirmed: 5197 | Missing: 4 | StateHash: 0x32535784
[HEARTBEAT] SimTick: 5236 | NetHead: 5236 | Confirmed: 5231 | Missing: 5 | StateHash: 0x6D8DC6A4
[HEARTBEAT] SimTick: 5278 | NetHead: 5277 | Confirmed: 5274 | Missing: 4 | StateHash: 0x6D8DC6A4
[HEARTBEAT] SimTick: 5313 | NetHead: 5312 | Confirmed: 5311 | Missing: 2 | StateHash: 0x332A70A4
[HEARTBEAT] SimTick: 5353 | NetHead: 5353 | Confirmed: 5348 | Missing: 5 | StateHash: 0xB5D740AC
[HEARTBEAT] SimTick: 5390 | NetHead: 5389 | Confirmed: 5386 | Missing: 4 | StateHash: 0xB5D740AC
[HEARTBEAT] SimTick: 5428 | NetHead: 5428 | Confirmed: 5423 | Missing: 5 | StateHash: 0x15CA6B2A
[HEARTBEAT] SimTick: 5474 | NetHead: 5473 | Confirmed: 5470 | Missing: 4 | StateHash: 0xD9F16574
[HEARTBEAT] SimTick: 5515 | NetHead: 5514 | Confirmed: 5510 | Missing: 5 | StateHash: 0xD9F16574
[HEARTBEAT] SimTick: 5553 | NetHead: 5552 | Confirmed: 5549 | Missing: 4 | StateHash: 0xE4B837F4
[HEARTBEAT] SimTick: 5597 | NetHead: 5596 | Confirmed: 5594 | Missing: 3 | StateHash: 0x03AEBFB4
[HEARTBEAT] SimTick: 5635 | NetHead: 5634 | Confirmed: 5633 | Missing: 2 | StateHash: 0x03AEBFB4
[HEARTBEAT] SimTick: 5675 | NetHead: 5674 | Confirmed: 5673 | Missing: 2 | StateHash: 0x8DB62ED4
[HEARTBEAT] SimTick: 5711 | NetHead: 5710 | Confirmed: 5709 | Missing: 2 | StateHash: 0x9B0FE6DC
[HEARTBEAT] SimTick: 5749 | NetHead: 5748 | Confirmed: 5747 | Missing: 2 | StateHash: 0x9B0FE6DC
[HEARTBEAT] SimTick: 5793 | NetHead: 5793 | Confirmed: 5788 | Missing: 5 | StateHash: 0x3678E194
[HEARTBEAT] SimTick: 5834 | NetHead: 5834 | Confirmed: 5829 | Missing: 5 | StateHash: 0x02B113B4
[HEARTBEAT] SimTick: 5876 | NetHead: 5875 | Confirmed: 5874 | Missing: 2 | StateHash: 0x02B113B4
[HEARTBEAT] SimTick: 5914 | NetHead: 5914 | Confirmed: 5909 | Missing: 5 | StateHash: 0x38250024
[HEARTBEAT] SimTick: 5953 | NetHead: 5952 | Confirmed: 5949 | Missing: 4 | StateHash: 0x4FDF9C1C
[HEARTBEAT] SimTick: 5994 | NetHead: 5993 | Confirmed: 5990 | Missing: 4 | StateHash: 0x4FDF9C1C
[HEARTBEAT] SimTick: 6030 | NetHead: 6030 | Confirmed: 6025 | Missing: 5 | StateHash: 0xA919D942
[HEARTBEAT] SimTick: 6069 | NetHead: 6069 | Confirmed: 6064 | Missing: 5 | StateHash: 0x824DD406
[HEARTBEAT] SimTick: 6113 | NetHead: 6112 | Confirmed: 6108 | Missing: 5 | StateHash: 0x46C52614
[HEARTBEAT] SimTick: 6147 | NetHead: 6146 | Confirmed: 6144 | Missing: 3 | StateHash: 0xFA0ACB62
[HEARTBEAT] SimTick: 6189 | NetHead: 6189 | Confirmed: 6186 | Missing: 3 | StateHash: 0x0FC65DC6
[HEARTBEAT] SimTick: 6228 | NetHead: 6228 | Confirmed: 6223 | Missing: 5 | StateHash: 0xC0B79ACC
[HEARTBEAT] SimTick: 6269 | NetHead: 6268 | Confirmed: 6266 | Missing: 3 | StateHash: 0xE97AC7B2
